timestamp,direction,entry,exit_tp,exit_sl,pnl,capital,confidence,patterns,vector,boundary
2026-04-11 18:20:00,SELL,73189.38,False,False,-0.016282,99.983718,40,REJECTION_WICK,BULL,RESISTANCE
2026-04-11 18:25:00,SELL,73196.53,False,False,-0.196972,99.786746,40,REJECTION_WICK,BULL,RESISTANCE
2026-04-11 20:30:00,SELL,73256.51,False,False,-0.113377,99.67337,40,ENGULFING,BULL,RESISTANCE
2026-04-11 21:45:00,SELL,73416.25,False,False,-0.185952,99.487417,65,REJECTION_WICK|ENGULFING,BULL,RESISTANCE
2026-04-11 22:50:00,SELL,73262.43,False,False,-0.257062,99.230355,40,ENGULFING,BULL,RESISTANCE
2026-04-11 23:00:00,SELL,73108.57,False,False,0.263701,99.494056,40,ENGULFING,BULL,RESISTANCE
2026-04-12 00:00:00,SELL,72900.77,False,False,-0.233765,99.260291,40,ENGULFING,BULL,RESISTANCE
2026-04-13 19:40:00,SELL,73015.75,False,False,-0.53086,98.729431,40,ENGULFING,BULL,RESISTANCE
2026-04-13 22:05:00,SELL,73329.97,False,False,-0.949843,97.779588,40,REJECTION_WICK,BULL,RESISTANCE
2026-04-13 22:25:00,SELL,74134.65,False,False,-0.341497,97.438091,40,ENGULFING,BULL,RESISTANCE
2026-04-13 23:20:00,SELL,74607.22,False,False,-0.269082,97.169008,40,REJECTION_WICK,BULL,RESISTANCE
2026-04-13 23:35:00,SELL,74697.2,False,False,0.291713,97.460721,40,ENGULFING,BULL,RESISTANCE
2026-04-14 04:20:00,SELL,74453.28,False,False,-0.088839,97.371883,40,ENGULFING,BULL,RESISTANCE
2026-04-14 05:10:00,SELL,74325.0,False,False,-0.063539,97.308344,65,REJECTION_WICK|ENGULFING,BULL,RESISTANCE
2026-04-14 05:35:00,SELL,74290.0,False,False,-0.001615,97.306728,40,REJECTION_WICK,BULL,RESISTANCE
